sacc	pident	length	qstart	qend	sstart	send	bitscore	evalue	stitle
JX512204	99.99	15572	16	15587	122241	137812	28078.8	0.0	gi|404315683|gb|JX512204.1| Human herpesvirus 5 strain HAN16, complete genome
KF297339	99.99	15572	16	15587	122829	138400	28078.8	0.0	gi|523510377|gb|KF297339.1| Human herpesvirus 5 strain TB40/E clone Lisa, complete genome
MW439039	99.99	15572	16	15587	122228	137799	28078.8	0.0	gi|2017756671|gb|MW439039.1| Human betaherpesvirus 5 strain TB40/EE
MW439038	99.99	15572	16	15587	122228	137799	28078.8	0.0	gi|2017756503|gb|MW439038.1| Human betaherpesvirus 5 strain TB40/EF
EF999921	99.99	15572	16	15587	154870	170441	28078.8	0.0	gi|157779983|gb|EF999921.1| Human herpesvirus 5 strain TB40/E clone TB40-BAC4, complete sequence
MT044484	99.98	15572	16	15587	122181	137752	28069.8	0.0	gi|1808705976|gb|MT044484.1| Human betaherpesvirus 5 strain HAN-SOT4
KX544839	99.94	15572	16	15587	154830	170396	28024.7	0.0	gi|1098408701|gb|KX544839.1| Human betaherpesvirus 5 isolate TB40-E_UNC
MT044481	99.85	15572	16	15587	122430	138000	27976.0	0.0	gi|1808705419|gb|MT044481.1| Human betaherpesvirus 5 strain GLA-SOT2
KP745712	99.67	15573	16	15587	122157	137726	27849.8	0.0	gi|822908276|gb|KP745712.1| Human herpesvirus 5 strain BE/19/2010, complete genome
KR534201	99.53	15584	16	15587	122046	137629	27782.2	0.0	gi|823076282|gb|KR534201.1| Human herpesvirus 5 strain JER2002, complete genome
